name,La Galerie des Carrosses,Le Campus de Versailles,L'Académie Équestre de Versailles,Les Jardins à la Française du Trianon,Le Hameau de la Reine,Le Jardin Anglais,Le Petit Trianon,Le Grand Trianon,Le Théâtre de la Reine,Le Jardin Français du Petit Trianon,L'Appartement intérieur du Roi,La Galerie des Glaces,L'Appartement du Roi,Le Grand Appartement du Roi,L'Opéra Royal,La Chapelle Royale,Le Grand Appartement de la Reine,La Galerie des Batailles,L'Appartement de Madame de Pompadour,L'Appartement de la Dauphine,Les Appartements des Filles de Louis XV,Les Galeries Historiques,La Salle du Congrès,Les Salles des Croisades,Les Cabinets intérieurs de Marie-Antoinette,La Salle du Sacre,Les Salles de l'Empire,"Les Salles d'Afrique, de Crimée et d'Italie",La Salle de 1792,La Galerie de l'Histoire du Château,Les Salles de Louis XIV,L'Appartement du Dauphin,L'Appartement de Madame du Barry,Le Grand Commun,L'Attique Chimay,L'Orangerie,La Galerie des Sculptures et des Moulages,Le Grand Canal,La Pièce d'Eau des Suisses,Le Rû Gally,La Salle du Jeu de Paume,Le Bassin de Flore (Printemps),Le Bassin de Cérès (Été),Le Bassin de Bacchus (Automne),Le Bassin de Saturne (Hiver),Le Cabinet de Diane (Soir),Le Cabinet du Point du Jour,Le Bassin du Dragon,Le Bassin de Neptune,Le Bassin de Latone,Le Bassin d'Apollon,Le Bassin du Miroir,Le Bain des Nymphes,Le Bassin de la Pyramide,Le Bassin des Enfants Dorés,Le Bosquet de la Reine,Le Bosquet de la Salle de Bal,Le Bosquet de la Girandole,Le Bosquet de la Montagne d'Eau,Le Bosquet du Dauphin,Le Bosquet du Théâtre d'Eau,Le Bosquet des Trois Fontaines,Le Bosquet de l'Arc de Triomphe,Le Bosquet de la Colonnade,Le Bosquet du Marronnier,Le Bosquet du Dôme,Le Bosquet d'Encelade,Le Bosquet des Obélisques,Le Bosquet des Bains d'Apollon,Le Parterre d'Eau,Le Parterre Nord,Le Parterre du Midi,Le Parterre de Latone,L'Allée d'Eau des Marmousets,L'Allée Royale du Tapis Vert,Le Jardin du Roi,La Statue de Louis XIV
La Galerie des Carrosses,0.0,0.0,0.0,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667
Le Campus de Versailles,0.0,0.0,0.0,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667
L'Académie Équestre de Versailles,0.0,0.0,0.0,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,32.96666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667,9.716666666666667
Les Jardins à la Française du Trianon,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333
Le Hameau de la Reine,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333
Le Jardin Anglais,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333
Le Petit Trianon,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333
Le Grand Trianon,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333
Le Théâtre de la Reine,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333
Le Jardin Français du Petit Trianon,34.3,34.3,34.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333,30.633333333333333
